Timestamp,Primer Question,Failures are treated as learning opportunities,Responsibilities are shared,Cross-functional collaboration is encouraged and rewarded,New ideas are welcomed,Unbiased information is actively sought,Failures lead to inquiry rather than punishment or shame ,Our Source Control Management tools easily support my work,Our build and task-running tools easily support my work,Our package and artifact management tools easily support my work,Integrating my work with other components or services is simple,"I can easily make the changes I care about, without unintended side effects",Changes made by others rarely cause problems for my work,"It is easy for me to discover information about what has changed in the environments, services or components I depend on",It is easy for me to understand how to release my changes,It is easy for me to specify the details of the environment in which my service will operate,It is easy for me to create the necessary environment(s) for developing and operating my service,"I have access to the compute, storage or network resources I need for developing or operating my service ",I can easily access environments that allow me to experiment safely ,My experimental environments are easy to use,"I understand or can easily reference policies, standards, and common procedures","I usually apply policies, standards and common procedures to my work",It is easy for me to find information about how builds and operates our product and its supporting systems,"I understand the intent of policies, standards and common procedures ","In your job role, how much effort do you estimate you spend as a direct contributor (that is, not delegating or organizing the effort of others). "
12/14/2021 11:18:08,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree,20-30%
12/14/2021 11:21:01,Strongly Agree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,70-80%
12/14/2021 11:25:13,Strongly Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,80-90%
12/14/2021 13:34:32,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,20-30%
12/14/2021 13:53:52,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,20-30%
12/14/2021 17:23:10,Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,50-60%
12/15/2021 11:25:40,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,80-90%
12/16/2021 13:17:21,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,10-20%
12/16/2021 15:06:00,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,80-90%
12/16/2021 15:06:19,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,80-90%
12/16/2021 15:38:34,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,40-50%
12/16/2021 16:36:26,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree,20-30%
12/16/2021 16:43:28,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,90-100%
12/20/2021 9:52:05,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,90-100%
12/20/2021 12:01:58,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,90-100%
12/20/2021 12:08:36,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Agree,70-80%
12/21/2021 10:38:08,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,20-30%
1/3/2022 10:38:57,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Disagree,Agree,10-20%
1/3/2022 13:57:51,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,70-80%
